address,city,zip,beds,bathf,bathp,carg,price,pid,sqft,lotsize,soldat,listedat,schname,schaddr,schgd,schdist,schdstr
5932 14th Avenue S,Minneapolis,55417,3,1,1,2,315000,pid_20709595/,1850,,,,,,,,
2654 Stinson Parkway NE,Minneapolis,55418,3,1,2,3,308850,pid_20313893/,2870,,,,,,,,
4831 Camden Avenue N,Minneapolis,55430,2,1,1,3,123500,pid_21725180/,1001,,,,,,,,
6005 Knox Avenue S,Minneapolis,55419,4,1,1,3,409000,pid_21175281/,2403,,,,,,,,
3422 W 46th Street,Minneapolis,55410,3,1,1,3,387500,pid_21201050/,1822,,,,,,,,
40 Cook Avenue W,Saint Paul,55117,3,1,0,3,160000,pid_21134768/,1644,,,,,,,,
3828 Harriet Avenue,Minneapolis,55409,3,1,1,3,315000,pid_20697738/,1858,,,,,,,,
931 Osceola Avenue,Saint Paul,55105,2,1,1,3,419000,pid_20634896/,1812,,,,,,,,
704 White Bear Avenue N,Saint Paul,55106,2,1,1,2,138000,pid_20224294/,1089,,,,,,,,
1061 Ashland Avenue,Saint Paul,55104,4,1,0,3,230000,pid_18769392/,1675,,,,,,,,
1465 Ames Avenue,Saint Paul,55106,5,3,0,5,225000,pid_21898690/,2527,,,,,,,,
425 Brainerd Avenue,Saint Paul,55101,3,1,1,3,125000,pid_21690020/,1236,,,,,,,,
1955 3rd Street E,Saint Paul,55119,3,1,1,2,175500,pid_21474176/,1330,,,,,,,,
967 Fuller Avenue,Saint Paul,55104,2,1,0,2,200000,pid_21292535/,1560,,,,,,,,
2508 Nokomis Avenue,Saint Paul,55119,3,1,0,3,189900,pid_21265666/,1052,,,,,,,,
5548 41st Avenue S,Minneapolis,55417,3,1,0,3,241600,pid_21106400/,1531,,,,,,,,
3522 Lyndale Avenue N,Minneapolis,55412,3,1,2,3,211000,pid_21016758/,2030,,,,,,,,
1331 4th Street E,Saint Paul,55106,3,1,1,1,149900,pid_20935264/,1064,,,,,,,,
1074 Albemarle Street,Saint Paul,55117,5,1,1,3,164000,pid_20309525/,1671,,,,,,,,
