address,city,zip,beds,bathf,bathp,carg,price,sqft,pid,soldatpr,soldatdate,listedatdate,schooldistance,neighborhood
5932 14th Avenue S,Minneapolis,55417,3,1,1,2,315000,1850,pid_20709595/,315000,2018-02-01,2017-10-28,0.8,Diamond Lake
2654 Stinson Parkway NE,Minneapolis,55418,3,1,2,3,308850,2870,pid_20313893/,308850,2018-02-01,2017-10-13,1.0,Audubon Park
4831 Camden Avenue N,Minneapolis,55430,2,1,1,3,123500,1001,pid_21725180/,123500,2018-02-01,2018-01-03,0.3,Lind - Bohanon
6005 Knox Avenue S,Minneapolis,55419,4,1,1,3,409000,2403,pid_21175281/,409000,2018-02-01,2017-12-01,0.5,Kenny
3422 W 46th Street,Minneapolis,55410,3,1,1,3,387500,1822,pid_21201050/,387500,2018-01-31,2017-12-04,0.5,Linden Hills
40 Cook Avenue W,Saint Paul,55117,3,1,0,3,160000,1644,pid_21134768/,160000,2018-01-31,2017-11-28,0.9,North End
3828 Harriet Avenue,Minneapolis,55409,3,1,1,3,315000,1858,pid_20697738/,315000,2018-01-31,2017-10-27,0.6,King Field
931 Osceola Avenue,Saint Paul,55105,2,1,1,3,419000,1812,pid_20634896/,419000,2018-01-31,2017-10-24,0.9,Tangletown
704 White Bear Avenue N,Saint Paul,55106,2,1,1,2,138000,1089,pid_20224294/,138000,2018-01-31,2017-10-08,0.4,Conway/Battlecreek/Highwood
1061 Ashland Avenue,Saint Paul,55104,4,1,0,3,230000,1675,pid_18769392/,230000,2018-01-31,2017-07-05,0.7,Summit/University
1465 Ames Avenue,Saint Paul,55106,5,3,0,5,225000,2527,pid_21898690/,225000,2018-01-31,2018-01-16,0.5,Greater East Side
425 Brainerd Avenue,Saint Paul,55101,3,1,1,3,125000,1236,pid_21690020/,125000,2018-01-31,2017-12-29,0.5,Payne/Phalen
1955 3rd Street E,Saint Paul,55119,3,1,1,2,175500,1330,pid_21474176/,175500,2018-01-31,2017-12-20,0.3,Conway/Battlecreek/Highwood
967 Fuller Avenue,Saint Paul,55104,2,1,0,2,200000,1560,pid_21292535/,200000,2018-01-31,2017-12-11,0.3,Summit/University
2508 Nokomis Avenue,Saint Paul,55119,3,1,0,3,189900,1052,pid_21265666/,189900,2018-01-31,2017-12-08,0.8,Greater East Side
5548 41st Avenue S,Minneapolis,55417,3,1,0,3,241600,1531,pid_21106400/,241600,2018-01-31,2017-11-25,0.9,Morris Park
3522 Lyndale Avenue N,Minneapolis,55412,3,1,2,3,211000,2030,pid_21016758/,211000,2018-01-31,2017-11-16,0.3,Mckinley
1331 4th Street E,Saint Paul,55106,3,1,1,1,149900,1064,pid_20935264/,149900,2018-01-31,2017-11-10,0.4,Dayton's Bluff
1074 Albemarle Street,Saint Paul,55117,5,1,1,3,164000,1671,pid_20309525/,164000,2018-01-31,2017-10-13,1.2,North End
1616 3rd Street E,Saint Paul,55106,4,1,2,2,222500,2009,pid_19754103/,222500,2018-01-31,2017-09-05,0.3,Conway/Battlecreek/Highwood
1630 Margaret Street,Saint Paul,55106,3,1,0,2,150000,903,pid_19636215/,150000,2018-01-31,2017-08-28,0.2,Conway/Battlecreek/Highwood
3830 Aldrich Avenue N,Minneapolis,55412,3,1,1,2,159900,1254,pid_21194229/,159900,2018-01-30,2017-12-03,1.0,Webber - Camden
1981 Arlington Avenue E,Saint Paul,55119,3,1,1,4,217000,1822,pid_21156161/,217000,2018-01-30,2017-11-30,0.3,Greater East Side
1057 Westminster Street,Saint Paul,55130,3,1,0,3,139000,1100,pid_20780631/,139000,2018-01-30,2017-11-02,0.2,Payne/Phalen
588 Lexington Parkway N,Saint Paul,55104,4,1,0,2,230000,1759,pid_20311260/,230000,2018-01-30,2017-10-13,0.7,Thomas/Dale(Frogtown)
1635 W 26th Street,Minneapolis,55405,4,2,1,3,995000,3753,pid_19829724/,995000,2018-01-30,2017-09-11,0.5,East Isles
759 Lafond Avenue,Saint Paul,55104,3,1,1,3,109000,1220,pid_21722660/,109000,2018-01-30,2018-01-03,0.6,Thomas/Dale(Frogtown)
761 Lafond Avenue,Saint Paul,55104,3,1,1,3,115000,1220,pid_21721466/,115000,2018-01-30,2018-01-03,0.6,Thomas/Dale(Frogtown)
1092 Sims Avenue,Saint Paul,55106,3,1,1,3,170000,1124,pid_21691362/,170000,2018-01-30,2017-12-30,0.6,Payne/Phalen
3837 Park Avenue,Minneapolis,55407,3,2,0,2,245500,1688,pid_21472235/,245500,2018-01-30,2017-12-20,0.6,Bryant
1289 McAfee Street,Saint Paul,55106,4,2,1,4,300000,2036,pid_21463247/,300000,2018-01-30,2017-12-19,0.8,Greater East Side
1268 Margaret Street,Saint Paul,55106,3,1,0,3,164300,1200,pid_21306490/,164300,2018-01-30,2017-12-13,0.6,Dayton's Bluff
907 4th Street E,Saint Paul,55106,5,1,2,3,240000,2128,pid_21272092/,240000,2018-01-30,2017-12-09,0.3,Dayton's Bluff
826 Oliver Avenue N,Minneapolis,55411,3,2,0,3,140500,1118,pid_21244032/,140500,2018-01-30,2017-12-07,0.6,Near - North
1103 Lincoln Avenue,Saint Paul,55105,5,1,1,3,308000,2200,pid_21203267/,308000,2018-01-30,2017-12-04,0.7,Summit Hill
558 Point Douglas Road S,Saint Paul,55119,3,1,0,3,188000,1105,pid_21179287/,188000,2018-01-30,2017-12-01,0.6,Conway/Battlecreek/Highwood
4217 Nokomis Avenue,Minneapolis,55406,3,1,0,3,320000,1254,pid_22699639/,320000,2018-01-30,2017-11-29,0.1,Ericsson
412 View Street,Saint Paul,55102,2,1,1,2,161000,1508,pid_21089876/,161000,2018-01-30,2017-01-22,1.5,West Seventh
882 Fuller Avenue,Saint Paul,55104,4,1,1,2,202000,2000,pid_20824721/,202000,2018-01-30,2017-11-06,0.1,Summit/University
91 McKnight Road N,Saint Paul,55119,3,1,1,3,210000,1920,pid_20364395/,210000,2018-01-30,2017-10-18,0.3,Conway/Battlecreek/Highwood
1720 Iowa Avenue E,Saint Paul,55106,3,1,1,3,175100,1081,pid_20182907/,175100,2018-01-30,2017-10-05,0.4,Greater East Side
2634 Jackson Street NE,Minneapolis,55418,3,1,1,4,249900,1542,pid_19683958/,249900,2018-01-30,2017-08-31,0.5,Holland
3415 19th Avenue S,Minneapolis,55407,1,1,0,1,147000,892,pid_19588346/,147000,2018-01-30,2017-08-24,1.0,Corcoran
4213 Washburn Avenue S,Minneapolis,55410,3,1,1,1,402000,1698,pid_21734880/,147000,2018-01-30,2018-01-04,0.5,Linden Hills
5612 Humboldt Avenue S,Minneapolis,55419,4,2,1,3,397500,2023,pid_21107504/,397500,2018-01-29,2017-11-25,0.2,Kenny
2817 W 40th Street,Minneapolis,55410,3,1,1,2,625000,2419,pid_20303264/,625000,2018-01-29,2017-10-13,0.5,Linden Hills
2627 James Avenue N,Minneapolis,55411,3,1,1,3,130000,1334,pid_19648483/,130000,2018-01-29,2017-08-29,0.5,Jordan
