address,city,zip,beds,bathf,bathp,carg,sqft,listedatpr,soldatpr,listedatdate,soldatdate,neighb,schdist,ncrime,pid,tom,prdiff,prdiff_perc,prdiff_np
5932 14th Avenue S,Minneapolis,55417,3,1,1,1,1850,324900,315e3,2017-10-28,2018-02-01,Diamond Lake,0.8,159,pid_20709595/,96,-9900,-0.030470914127423823,2
2654 Stinson Parkway NE,Minneapolis,55418,3,1,2,2,2870,33e4,308850,2017-10-13,2018-02-01,Audubon Park,1,184,pid_20313893/,111,-21150,-0.06409090909090909,2
4831 Camden Avenue N,Minneapolis,55430,2,1,1,2,1001,132e3,123500,2018-01-03,2018-02-01,Lind - Bohanon,0.3,352,pid_21725180/,29,-8500,-0.06439393939393939,2
6005 Knox Avenue S,Minneapolis,55419,4,1,1,2,2403,418900,409e3,2017-12-01,2018-02-01,Kenny,0.5,84,pid_21175281/,62,-9900,-0.023633325375984723,2
3422 W 46th Street,Minneapolis,55410,3,1,1,2,1822,399900,387500,2017-12-04,2018-01-31,Linden Hills,0.5,151,pid_21201050/,58,-12400,-0.031007751937984496,2
40 Cook Avenue W,Saint Paul,55117,3,1,0,2,1644,179900,16e4,2017-11-28,2018-01-31,North End,0.9,6153,pid_21134768/,64,-19900,-0.11061700944969427,2
3828 Harriet Avenue,Minneapolis,55409,3,1,1,2,1858,339e3,315e3,2017-10-27,2018-01-31,King Field,0.6,328,pid_20697738/,96,-24e3,-0.07079646017699115,2
931 Osceola Avenue,Saint Paul,55105,2,1,1,2,1812,429e3,419e3,2017-10-24,2018-01-31,Tangletown,0.9,179,pid_20634896/,99,-1e4,-0.023310023310023312,2
704 White Bear Avenue N,Saint Paul,55106,2,1,1,1,1089,139e3,138e3,2017-10-08,2018-01-31,Conway/Battlecreek/Highwood,0.4,4453,pid_20224294/,115,-1e3,-0.007194244604316547,2
1061 Ashland Avenue,Saint Paul,55104,4,1,0,2,1675,324900,23e4,2017-07-05,2018-01-31,Summit/University,0.7,4545,pid_18769392/,210,-94900,-0.2920898738073253,2
1465 Ames Avenue,Saint Paul,55106,5,3,0,4,2527,219900,225e3,2018-01-16,2018-01-31,Greater East Side,0.5,5697,pid_21898690/,15,5100,0.023192360163710776,1
425 Brainerd Avenue,Saint Paul,55101,3,1,1,2,1236,125e3,125e3,2017-12-29,2018-01-31,Payne/Phalen,0.5,9685,pid_21690020/,33,0,0,3
1955 3rd Street E,Saint Paul,55119,3,1,1,1,1330,169900,175500,2017-12-20,2018-01-31,Conway/Battlecreek/Highwood,0.3,4453,pid_21474176/,42,5600,0.0329605650382578,1
967 Fuller Avenue,Saint Paul,55104,2,1,0,1,1560,199900,2e5,2017-12-11,2018-01-31,Summit/University,0.3,4545,pid_21292535/,51,100,5.002501250625312e-4,1
2508 Nokomis Avenue,Saint Paul,55119,3,1,0,2,1052,189900,189900,2017-12-08,2018-01-31,Greater East Side,0.8,5697,pid_21265666/,54,0,0,3
5548 41st Avenue S,Minneapolis,55417,3,1,0,2,1531,245e3,241600,2017-11-25,2018-01-31,Morris Park,0.9,81,pid_21106400/,67,-3400,-0.013877551020408163,2
3522 Lyndale Avenue N,Minneapolis,55412,3,1,2,2,2030,199900,211e3,2017-11-16,2018-01-31,Mckinley,0.3,335,pid_21016758/,76,11100,0.05552776388194097,1
1331 4th Street E,Saint Paul,55106,3,1,1,0,1064,169e3,149900,2017-11-10,2018-01-31,Dayton's Bluff,0.4,5074,pid_20935264/,82,-19100,-0.11301775147928994,2
1074 Albemarle Street,Saint Paul,55117,5,1,1,2,1671,189900,164e3,2017-10-13,2018-01-31,North End,1.2,6153,pid_20309525/,110,-25900,-0.13638757240652974,2
1616 3rd Street E,Saint Paul,55106,4,1,2,1,2009,219900,222500,2017-09-05,2018-01-31,Conway/Battlecreek/Highwood,0.3,4453,pid_19754103/,148,2600,0.01182355616189177,1
1630 Margaret Street,Saint Paul,55106,3,1,0,1,903,159900,15e4,2017-08-28,2018-01-31,Conway/Battlecreek/Highwood,0.2,4453,pid_19636215/,156,-9900,-0.06191369606003752,2
3830 Aldrich Avenue N,Minneapolis,55412,3,1,1,1,1254,159900,159900,2017-12-03,2018-01-30,Webber - Camden,1,460,pid_21194229/,58,0,0,3
1981 Arlington Avenue E,Saint Paul,55119,3,1,1,3,1822,214900,217e3,2017-11-30,2018-01-30,Greater East Side,0.3,5697,pid_21156161/,61,2100,0.009771986970684038,1
1057 Westminster Street,Saint Paul,55130,3,1,0,2,1100,149e3,139e3,2017-11-02,2018-01-30,Payne/Phalen,0.2,9685,pid_20780631/,89,-1e4,-0.06711409395973154,2
588 Lexington Parkway N,Saint Paul,55104,4,1,0,1,1759,239900,23e4,2017-10-13,2018-01-30,Thomas/Dale(Frogtown),0.7,5108,pid_20311260/,109,-9900,-0.04126719466444352,2
1635 W 26th Street,Minneapolis,55405,4,2,1,2,3753,115e4,995e3,2017-09-11,2018-01-30,East Isles,0.5,255,pid_19829724/,141,-155e3,-0.13478260869565217,2
759 Lafond Avenue,Saint Paul,55104,3,1,1,2,1220,119900,109e3,2018-01-03,2018-01-30,Thomas/Dale(Frogtown),0.6,5108,pid_21722660/,27,-10900,-0.09090909090909091,2
761 Lafond Avenue,Saint Paul,55104,3,1,1,2,1220,119900,115e3,2018-01-03,2018-01-30,Thomas/Dale(Frogtown),0.6,5108,pid_21721466/,27,-4900,-0.0408673894912427,2
1092 Sims Avenue,Saint Paul,55106,3,1,1,2,1124,165e3,17e4,2017-12-30,2018-01-30,Payne/Phalen,0.6,9685,pid_21691362/,31,5e3,0.030303030303030304,1
3837 Park Avenue,Minneapolis,55407,3,2,0,1,1688,238e3,245500,2017-12-20,2018-01-30,Bryant,0.6,118,pid_21472235/,41,7500,0.031512605042016806,1
1289 McAfee Street,Saint Paul,55106,4,2,1,3,2036,299900,3e5,2017-12-19,2018-01-30,Greater East Side,0.8,5697,pid_21463247/,42,100,3.3344448149383126e-4,1
1268 Margaret Street,Saint Paul,55106,3,1,0,2,1200,16e4,164300,2017-12-13,2018-01-30,Dayton's Bluff,0.6,5074,pid_21306490/,48,4300,0.026875,1
907 4th Street E,Saint Paul,55106,5,1,2,2,2128,229900,24e4,2017-12-09,2018-01-30,Dayton's Bluff,0.3,5074,pid_21272092/,52,10100,0.043932144410613314,1
826 Oliver Avenue N,Minneapolis,55411,3,2,0,2,1118,125e3,140500,2017-12-07,2018-01-30,Near - North,0.6,847,pid_21244032/,54,15500,0.124,1
1103 Lincoln Avenue,Saint Paul,55105,5,1,1,2,2200,299900,308e3,2017-12-04,2018-01-30,Summit Hill,0.7,1445,pid_21203267/,57,8100,0.027009003001000332,1
558 Point Douglas Road S,Saint Paul,55119,3,1,0,2,1105,189e3,188e3,2017-12-01,2018-01-30,Conway/Battlecreek/Highwood,0.6,4453,pid_21179287/,60,-1e3,-0.005291005291005291,2
4217 Nokomis Avenue,Minneapolis,55406,3,1,0,2,1254,32e4,32e4,2017-11-29,2018-01-30,Ericsson,0.1,128,pid_22699639/,62,0,0,3
412 View Street,Saint Paul,55102,2,1,1,1,1508,167900,161e3,2017-01-22,2018-01-30,West Seventh,1.5,2784,pid_21089876/,373,-6900,-0.0410958904109589,2
882 Fuller Avenue,Saint Paul,55104,4,1,1,1,2e3,199900,202e3,2017-11-06,2018-01-30,Summit/University,0.1,4545,pid_20824721/,85,2100,0.010505252626313157,1
91 McKnight Road N,Saint Paul,55119,3,1,1,2,1920,229900,21e4,2017-10-18,2018-01-30,Conway/Battlecreek/Highwood,0.3,4453,pid_20364395/,104,-19900,-0.08655937364071335,2
1720 Iowa Avenue E,Saint Paul,55106,3,1,1,2,1081,184900,175100,2017-10-05,2018-01-30,Greater East Side,0.4,5697,pid_20182907/,117,-9800,-0.05300162249864792,2
2634 Jackson Street NE,Minneapolis,55418,3,1,1,3,1542,259900,249900,2017-08-31,2018-01-30,Holland,0.5,279,pid_19683958/,152,-1e4,-0.038476337052712584,2
3415 19th Avenue S,Minneapolis,55407,1,1,0,0,892,179900,147e3,2017-08-24,2018-01-30,Corcoran,1,313,pid_19588346/,159,-32900,-0.1828793774319066,2
4213 Washburn Avenue S,Minneapolis,55410,3,1,1,0,1698,38e4,147e3,2018-01-04,2018-01-30,Linden Hills,0.5,151,pid_21734880/,26,-233e3,-0.6131578947368421,2
5612 Humboldt Avenue S,Minneapolis,55419,4,2,1,2,2023,409900,397500,2017-11-25,2018-01-29,Kenny,0.2,84,pid_21107504/,65,-12400,-0.03025128080019517,2
2817 W 40th Street,Minneapolis,55410,3,1,1,1,2419,669900,625e3,2017-10-13,2018-01-29,Linden Hills,0.5,151,pid_20303264/,108,-44900,-0.06702492909389461,2
2627 James Avenue N,Minneapolis,55411,3,1,1,2,1334,149900,13e4,2017-08-29,2018-01-29,Jordan,0.5,862,pid_19648483/,153,-19900,-0.13275517011340893,2
5521 27th Avenue S,Minneapolis,55417,3,1,0,1,1404,239900,229900,2017-12-14,2018-01-29,Wenonah,0.3,175,pid_21320902/,46,-1e4,-0.041684035014589414,2
20 Belvidere Street E,Saint Paul,55107,3,1,1,1,1824,239e3,239e3,2017-12-13,2018-01-29,West Side,0.3,3405,pid_21312040/,47,0,0,3
1984 Larpenteur Avenue E,Saint Paul,55109,3,1,1,2,1545,174900,18e4,2017-12-13,2018-01-29,Greater East Side,0.7,5697,pid_21310501/,47,5100,0.029159519725557463,1
1205 Irving Avenue N,Minneapolis,55411,4,1,3,2,2322,219900,219900,2017-12-07,2018-01-29,Near - North,0.3,847,pid_21254861/,53,0,0,3
4530 Thomas Avenue N,Minneapolis,55412,3,1,0,1,1516,199900,194e3,2017-10-31,2018-01-29,Victory,0.2,265,pid_20739065/,90,-5900,-0.029514757378689346,2
5404 Park Avenue,Minneapolis,55417,3,1,1,2,2247,449e3,42e4,2017-10-30,2018-01-29,Page,0.4,30,pid_20723697/,91,-29e3,-0.0645879732739421,2
924 Lafond Avenue,Saint Paul,55104,3,2,0,1,1640,182500,177e3,2017-10-26,2018-01-29,Thomas/Dale(Frogtown),0.6,5108,pid_20669616/,95,-5500,-0.030136986301369864,2
5953 Fremont Avenue S,Minneapolis,55419,4,1,1,2,1600,35e4,325e3,2017-10-11,2018-01-29,Kenny,0.3,84,pid_20287359/,110,-25e3,-0.07142857142857142,2
1955 Montana Avenue E,Saint Paul,55119,3,1,0,1,1042,182800,158500,2017-10-04,2018-01-29,Greater East Side,0.4,5697,pid_20156706/,117,-24300,-0.13293216630196936,2
1049 Lincoln Avenue,Saint Paul,55105,3,1,2,2,2699,599900,526500,2017-09-15,2018-01-29,Summit Hill,0.7,1445,pid_19884526/,136,-73400,-0.12235372562093683,2
988 Kennard Street,Saint Paul,55106,3,1,1,2,1453,22e4,2e5,2017-08-10,2018-01-29,Greater East Side,0.4,5697,pid_19359809/,172,-2e4,-0.09090909090909091,2
1455 Maywood Street,Saint Paul,55117,3,1,0,1,1221,234900,215e3,2017-08-30,2018-01-27,Como,0.7,2555,pid_19668027/,150,-19900,-0.08471690080885483,2
4406 Cedar Avenue S,Minneapolis,55407,4,1,1,2,1704,3e5,3e5,2017-12-13,2018-01-26,Northrop,1,225,pid_21306011/,44,0,0,3
4156 Minnehaha Avenue,Minneapolis,55406,3,1,0,2,1525,239900,231500,2017-11-18,2018-01-26,Hiawatha,0.4,341,pid_21051835/,69,-8400,-0.035014589412255104,2
5344 Ewing Avenue S,Minneapolis,55410,2,1,0,1,1386,399e3,393e3,2017-11-01,2018-01-26,Fulton,0.8,137,pid_20751252/,86,-6e3,-0.015037593984962405,2
2325 Walton Place,Minneapolis,55411,2,1,1,2,843,69900,76900,2018-01-02,2018-01-26,Willard - Hay,0.9,689,pid_21709850/,24,7e3,0.10014306151645208,1
1096 Mackubin Street,Saint Paul,55117,3,1,1,1,1334,167500,172e3,2017-12-18,2018-01-26,North End,0.5,6153,pid_21359563/,39,4500,0.026865671641791045,1
1 Linder Court,Saint Paul,55106,3,1,1,1,1578,179900,185e3,2017-12-14,2018-01-26,Conway/Battlecreek/Highwood,0.2,4453,pid_21338497/,43,5100,0.028349082823790995,1
5421 28th Avenue S,Minneapolis,55417,3,1,0,0,1241,225e3,226500,2017-12-07,2018-01-26,Wenonah,0.3,175,pid_21252116/,50,1500,0.006666666666666667,1
1823 Girard Avenue N,Minneapolis,55411,3,1,1,2,1911,184900,184900,2017-12-04,2018-01-26,Near - North,0.3,847,pid_21198428/,53,0,0,3
3311 Cleveland Street NE,Minneapolis,55418,3,1,1,2,1700,269900,269900,2017-11-24,2018-01-26,Waite Park,0.2,155,pid_21098826/,63,0,0,3
487 Ruth Street N,Saint Paul,55119,3,2,0,1,1712,225e3,225e3,2017-11-10,2018-01-26,Conway/Battlecreek/Highwood,0.4,4453,pid_20923060/,77,0,0,3
5256 37th Avenue S,Minneapolis,55417,4,1,2,2,2163,309e3,294140,2017-11-10,2018-01-26,Minnehaha,0.5,151,pid_20915082/,77,-14860,-0.04809061488673139,2
1991 5th Street E,Saint Paul,55119,2,1,0,1,740,155e3,149e3,2017-11-08,2018-01-26,Conway/Battlecreek/Highwood,0.1,4453,pid_20880370/,79,-6e3,-0.03870967741935484,2
4163 Burton Lane,Minneapolis,55406,3,1,2,2,2758,45e4,428e3,2017-11-03,2018-01-26,Hiawatha,0.3,341,pid_20799044/,84,-22e3,-0.04888888888888889,2
